Player Name1,Venue,avg_batting_points,avg_bowling_points
A Ashish Reddy,Barabati Stadium,26.0,26.0
A Ashish Reddy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,19.5,19.5
A Ashish Reddy,Eden Gardens,16.5,16.5
A Ashish Reddy,Feroz Shah Kotla,24.0,24.0
A Ashish Reddy,M Chinnaswamy Stadium,19.333333333333332,19.333333333333332
A Ashish Reddy,"MA Chidambaram Stadium, Chepauk",23.0,23.0
A Ashish Reddy,Maharashtra Cricket Association Stadium,25.0,25.0
A Ashish Reddy,"Punjab Cricket Association Stadium, Mohali",38.0,38.0
A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",22.157894736842106,22.157894736842106
A Ashish Reddy,Sawai Mansingh Stadium,18.0,18.0
A Ashish Reddy,Subrata Roy Sahara Stadium,56.0,56.0
A Ashish Reddy,Wankhede Stadium,26.5,26.5
A Chandila,M Chinnaswamy Stadium,9.0,9.0
A Chandila,"MA Chidambaram Stadium, Chepauk",36.0,36.0
A Chandila,"Punjab Cricket Association Stadium, Mohali",38.0,38.0
A Chandila,"Rajiv Gandhi International Stadium, Uppal",20.5,20.5
A Chandila,Sawai Mansingh Stadium,35.875,35.875
A Chopra,Eden Gardens,8.333333333333334,8.333333333333334
A Chopra,Newlands,19.0,19.0
A Chopra,"Rajiv Gandhi International Stadium, Uppal",36.0,36.0
A Chopra,Wankhede Stadium,1.0,1.0
A Choudhary,M Chinnaswamy Stadium,26.4,26.4
A Choudhary,"Rajiv Gandhi International Stadium, Uppal",18.0,18.0
A Choudhary,Wankhede Stadium,34.0,34.0
A Dananjaya,Wankhede Stadium,3.0,3.0
A Flintoff,Kingsmead,9.5,9.5
A Flintoff,Newlands,32.0,32.0
A Flintoff,St George's Park,38.5,38.5
A Kamboj,"Eden Gardens, Kolkata",2.0,2.0
A Kumble,Brabourne Stadium,40.0,40.0
A Kumble,Dr DY Patil Sports Academy,53.333333333333336,53.333333333333336
A Kumble,Eden Gardens,27.0,27.0
A Kumble,Feroz Shah Kotla,19.0,19.0
A Kumble,Kingsmead,41.666666666666664,41.666666666666664
A Kumble,M Chinnaswamy Stadium,27.066666666666666,27.066666666666666
A Kumble,"MA Chidambaram Stadium, Chepauk",47.333333333333336,47.333333333333336
A Kumble,New Wanderers Stadium,38.8,38.8
A Kumble,Newlands,54.333333333333336,54.333333333333336
A Kumble,"Punjab Cricket Association Stadium, Mohali",13.666666666666666,13.666666666666666
A Kumble,"Rajiv Gandhi International Stadium, Uppal",35.0,35.0
A Kumble,Sawai Mansingh Stadium,17.333333333333332,17.333333333333332
A Kumble,St George's Park,7.4,7.4
A Kumble,SuperSport Park,44.0,44.0
A Kumble,"Vidarbha Cricket Association Stadium, Jamtha",19.0,19.0
A Mishra,Arun Jaitley Stadium,41.06666666666667,41.06666666666667
A Mishra,Barabati Stadium,17.4,17.4
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",41.4,41.4
A Mishra,Brabourne Stadium,4.75,4.75
A Mishra,Buffalo Park,16.0,16.0
A Mishra,Dr DY Patil Sports Academy,60.0,60.0
A Mishra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,16.9,16.9
A Mishra,Dubai International Cricket Stadium,5.0,5.0
A Mishra,Eden Gardens,20.833333333333332,20.833333333333332
A Mishra,Feroz Shah Kotla,33.27906976744186,33.27906976744186
A Mishra,Green Park,18.5,18.5
A Mishra,Himachal Pradesh Cricket Association Stadium,130.0,130.0
A Mishra,Kingsmead,6.666666666666667,6.666666666666667
A Mishra,M Chinnaswamy Stadium,30.75,30.75
A Mishra,"M Chinnaswamy Stadium, Bengaluru",27.0,27.0
A Mishra,M.Chinnaswamy Stadium,2.5,2.5
A Mishra,MA Chidambaram Stadium,11.0,11.0
A Mishra,"MA Chidambaram Stadium, Chepauk",32.25,32.25
A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",77.0,77.0
A Mishra,Maharashtra Cricket Association Stadium,64.8,64.8
A Mishra,"Narendra Modi Stadium, Ahmedabad",27.0,27.0
A Mishra,Nehru Stadium,21.0,21.0
A Mishra,New Wanderers Stadium,42.333333333333336,42.333333333333336
A Mishra,OUTsurance Oval,86.0,86.0
A Mishra,Punjab Cricket Association IS Bindra Stadium,0.0,0.0
A Mishra,"Punjab Cricket Association IS Bindra Stadium, Mohali",4.0,4.0
A Mishra,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",-3.0,-3.0
A Mishra,"Punjab Cricket Association Stadium, Mohali",24.0,24.0
A Mishra,Rajiv Gandhi International Stadium,39.5,39.5
A Mishra,"Rajiv Gandhi International Stadium, Uppal",35.064516129032256,35.064516129032256
A Mishra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",33.0,33.0
A Mishra,"Sardar Patel Stadium, Motera",26.0,26.0
A Mishra,Saurashtra Cricket Association Stadium,31.0,31.0
A Mishra,Sawai Mansingh Stadium,30.0,30.0
A Mishra,"Sawai Mansingh Stadium, Jaipur",2.0,2.0
A Mishra,Shaheed Veer Narayan Singh International Stadium,11.333333333333334,11.333333333333334
A Mishra,Sharjah Cricket Stadium,22.25,22.25
A Mishra,Sheikh Zayed Stadium,58.0,58.0
A Mishra,St George's Park,40.0,40.0
A Mishra,Subrata Roy Sahara Stadium,4.0,4.0
A Mishra,SuperSport Park,34.42857142857143,34.42857142857143
A Mishra,Wankhede Stadium,26.88888888888889,26.88888888888889
A Mishra,"Wankhede Stadium, Mumbai",4.0,4.0
A Mithun,Feroz Shah Kotla,22.5,22.5
A Mithun,Himachal Pradesh Cricket Association Stadium,9.5,9.5
A Mithun,JSCA International Stadium Complex,18.0,18.0
A Mithun,M Chinnaswamy Stadium,15.375,15.375
A Mithun,"MA Chidambaram Stadium, Chepauk",5.333333333333333,5.333333333333333
A Mithun,Nehru Stadium,-4.0,-4.0
A Mithun,St George's Park,5.0,5.0
A Mithun,Wankhede Stadium,29.0,29.0
A Mukund,"MA Chidambaram Stadium, Chepauk",0.0,0.0
A Mukund,Sawai Mansingh Stadium,23.0,23.0
A Nehra,Barabati Stadium,26.0,26.0
A Nehra,Brabourne Stadium,46.5,46.5
A Nehra,Buffalo Park,64.0,64.0
A Nehra,Dr DY Patil Sports Academy,64.33333333333333,64.33333333333333
A Nehra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,122.0,122.0
A Nehra,Eden Gardens,17.142857142857142,17.142857142857142
A Nehra,Feroz Shah Kotla,30.25,30.25
A Nehra,Himachal Pradesh Cricket Association Stadium,62.0,62.0
A Nehra,JSCA International Stadium Complex,93.0,93.0
A Nehra,Kingsmead,40.666666666666664,40.666666666666664
A Nehra,M Chinnaswamy Stadium,45.57142857142857,45.57142857142857
A Nehra,"MA Chidambaram Stadium, Chepauk",43.785714285714285,43.785714285714285
A Nehra,New Wanderers Stadium,65.0,65.0
A Nehra,OUTsurance Oval,31.666666666666668,31.666666666666668
A Nehra,"Punjab Cricket Association IS Bindra Stadium, Mohali",41.5,41.5
A Nehra,"Punjab Cricket Association Stadium, Mohali",21.8,21.8
A Nehra,"Rajiv Gandhi International Stadium, Uppal",28.25,28.25
A Nehra,"Sardar Patel Stadium, Motera",7.0,7.0
A Nehra,Sawai Mansingh Stadium,47.666666666666664,47.666666666666664
A Nehra,Shaheed Veer Narayan Singh International Stadium,20.0,20.0
A Nehra,Sheikh Zayed Stadium,31.0,31.0
A Nehra,St George's Park,89.0,89.0
A Nehra,Subrata Roy Sahara Stadium,25.428571428571427,25.428571428571427
A Nehra,SuperSport Park,53.666666666666664,53.666666666666664
A Nehra,Wankhede Stadium,29.25,29.25
A Nel,Feroz Shah Kotla,30.0,30.0
A Singh,De Beers Diamond Oval,35.0,35.0
A Singh,Eden Gardens,20.333333333333332,20.333333333333332
A Singh,Feroz Shah Kotla,54.0,54.0
A Singh,Kingsmead,47.0,47.0
A Singh,M Chinnaswamy Stadium,54.0,54.0
A Singh,"MA Chidambaram Stadium, Chepauk",-2.0,-2.0
A Singh,OUTsurance Oval,3.0,3.0
A Singh,"Rajiv Gandhi International Stadium, Uppal",90.0,90.0
A Singh,Sawai Mansingh Stadium,30.0,30.0
A Singh,SuperSport Park,128.0,128.0
A Singh,Wankhede Stadium,29.666666666666668,29.666666666666668
A Symonds,Barabati Stadium,71.0,71.0
A Symonds,Brabourne Stadium,17.0,17.0
A Symonds,De Beers Diamond Oval,37.75,37.75
A Symonds,Dr DY Patil Sports Academy,10.8,10.8
A Symonds,Eden Gardens,46.75,46.75
A Symonds,Feroz Shah Kotla,57.5,57.5
A Symonds,Himachal Pradesh Cricket Association Stadium,4.5,4.5
A Symonds,Kingsmead,53.0,53.0
A Symonds,M Chinnaswamy Stadium,62.5,62.5
A Symonds,"MA Chidambaram Stadium, Chepauk",71.0,71.0
A Symonds,New Wanderers Stadium,49.833333333333336,49.833333333333336
A Symonds,"Punjab Cricket Association Stadium, Mohali",12.0,12.0
A Symonds,"Rajiv Gandhi International Stadium, Uppal",60.6,60.6
A Symonds,"Sardar Patel Stadium, Motera",36.0,36.0
A Symonds,Sawai Mansingh Stadium,21.0,21.0
A Symonds,SuperSport Park,35.75,35.75
A Symonds,"Vidarbha Cricket Association Stadium, Jamtha",27.666666666666668,27.666666666666668
A Symonds,Wankhede Stadium,16.571428571428573,16.571428571428573
A Tomar,"Dr DY Patil Sports Academy, Mumbai",8.0,8.0
A Uniyal,Brabourne Stadium,41.5,41.5
A Uniyal,"Sardar Patel Stadium, Motera",0.0,0.0
AA Bilakhia,Kingsmead,16.0,16.0
AA Bilakhia,New Wanderers Stadium,6.0,6.0
AA Bilakhia,St George's Park,1.0,1.0
AA Bilakhia,SuperSport Park,21.333333333333332,21.333333333333332
AA Bilakhia,"Vidarbha Cricket Association Stadium, Jamtha",2.0,2.0
AA Chavan,Eden Gardens,19.0,19.0
AA Chavan,Feroz Shah Kotla,33.0,33.0
AA Chavan,Holkar Cricket Stadium,-1.0,-1.0
AA Chavan,"Punjab Cricket Association Stadium, Mohali",4.0,4.0
AA Chavan,Sawai Mansingh Stadium,35.8,35.8
AA Chavan,Subrata Roy Sahara Stadium,1.0,1.0
AA Chavan,Wankhede Stadium,17.25,17.25
AA Jhunjhunwala,Brabourne Stadium,10.5,10.5
AA Jhunjhunwala,Dr DY Patil Sports Academy,8.5,8.5
AA Jhunjhunwala,Feroz Shah Kotla,5.0,5.0
AA Jhunjhunwala,M Chinnaswamy Stadium,9.0,9.0
AA Jhunjhunwala,"MA Chidambaram Stadium, Chepauk",14.25,14.25
AA Jhunjhunwala,"Punjab Cricket Association Stadium, Mohali",-2.0,-2.0
AA Jhunjhunwala,"Rajiv Gandhi International Stadium, Uppal",15.5,15.5
AA Jhunjhunwala,"Sardar Patel Stadium, Motera",34.2,34.2
AA Jhunjhunwala,Sawai Mansingh Stadium,16.666666666666668,16.666666666666668
AA Jhunjhunwala,"Vidarbha Cricket Association Stadium, Jamtha",15.0,15.0
AA Kazi,Sawai Mansingh Stadium,25.0,25.0
AA Kulkarni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",8.5,8.5
AA Noffke,M Chinnaswamy Stadium,21.0,21.0
AB Agarkar,Buffalo Park,24.0,24.0
AB Agarkar,Eden Gardens,19.4,19.4
AB Agarkar,Feroz Shah Kotla,14.76923076923077,14.76923076923077
AB Agarkar,Kingsmead,29.8,29.8
AB Agarkar,M Chinnaswamy Stadium,35.333333333333336,35.333333333333336
AB Agarkar,"MA Chidambaram Stadium, Chepauk",19.6,19.6
AB Agarkar,Nehru Stadium,59.0,59.0
AB Agarkar,New Wanderers Stadium,34.666666666666664,34.666666666666664
AB Agarkar,Newlands,1.25,1.25
AB Agarkar,"Punjab Cricket Association Stadium, Mohali",21.666666666666668,21.666666666666668
AB Agarkar,"Rajiv Gandhi International Stadium, Uppal",56.0,56.0
AB Agarkar,Sawai Mansingh Stadium,21.333333333333332,21.333333333333332
AB Agarkar,St George's Park,32.0,32.0
AB Agarkar,SuperSport Park,15.5,15.5
AB Agarkar,Wankhede Stadium,27.0,27.0
AB Barath,Barabati Stadium,11.0,11.0
AB Barath,Feroz Shah Kotla,2.0,2.0
AB Barath,"Punjab Cricket Association Stadium, Mohali",59.0,59.0
AB Dinda,Buffalo Park,30.0,30.0
AB Dinda,Dr DY Patil Sports Academy,58.0,58.0
AB Dinda,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,49.666666666666664,49.666666666666664
AB Dinda,Dubai International Cricket Stadium,26.666666666666668,26.666666666666668
AB Dinda,Eden Gardens,36.61538461538461,36.61538461538461
AB Dinda,Feroz Shah Kotla,22.6,22.6
AB Dinda,Holkar Cricket Stadium,32.0,32.0
AB Dinda,Kingsmead,29.0,29.0
AB Dinda,M Chinnaswamy Stadium,28.7,28.7
AB Dinda,"MA Chidambaram Stadium, Chepauk",22.0,22.0
AB Dinda,Maharashtra Cricket Association Stadium,30.857142857142858,30.857142857142858
AB Dinda,Newlands,30.5,30.5
AB Dinda,"Punjab Cricket Association Stadium, Mohali",17.4,17.4
AB Dinda,"Rajiv Gandhi International Stadium, Uppal",54.6,54.6
AB Dinda,"Sardar Patel Stadium, Motera",60.0,60.0
AB Dinda,Sawai Mansingh Stadium,14.666666666666666,14.666666666666666
AB Dinda,Shaheed Veer Narayan Singh International Stadium,93.0,93.0
AB Dinda,Sharjah Cricket Stadium,1.0,1.0
AB Dinda,Sheikh Zayed Stadium,6.5,6.5
AB Dinda,St George's Park,-0.3333333333333333,-0.3333333333333333
AB Dinda,Subrata Roy Sahara Stadium,30.0,30.0
AB Dinda,SuperSport Park,38.0,38.0
AB Dinda,Wankhede Stadium,31.0,31.0
AB McDonald,Brabourne Stadium,35.5,35.5
AB McDonald,Feroz Shah Kotla,37.0,37.0
AB McDonald,M Chinnaswamy Stadium,42.375,42.375
AB McDonald,"MA Chidambaram Stadium, Chepauk",4.5,4.5
AB McDonald,New Wanderers Stadium,2.5,2.5
AB McDonald,"Punjab Cricket Association Stadium, Mohali",34.0,34.0
AB de Villiers,Arun Jaitley Stadium,77.5,77.5
AB de Villiers,Barabati Stadium,39.0,39.0
AB de Villiers,Brabourne Stadium,4.0,4.0
AB de Villiers,Buffalo Park,88.0,88.0
AB de Villiers,Dr DY Patil Sports Academy,35.0,35.0
AB de Villiers,Dubai International Cricket Stadium,49.833333333333336,49.833333333333336
AB de Villiers,Eden Gardens,40.42857142857143,40.42857142857143
AB de Villiers,Feroz Shah Kotla,17.2,17.2
AB de Villiers,Himachal Pradesh Cricket Association Stadium,56.0,56.0
AB de Villiers,Holkar Cricket Stadium,167.0,167.0
AB de Villiers,JSCA International Stadium Complex,32.333333333333336,32.333333333333336
AB de Villiers,Kingsmead,123.5,123.5
AB de Villiers,M Chinnaswamy Stadium,53.93478260869565,53.93478260869565
AB de Villiers,M.Chinnaswamy Stadium,87.33333333333333,87.33333333333333
AB de Villiers,MA Chidambaram Stadium,9.0,9.0
AB de Villiers,"MA Chidambaram Stadium, Chepauk",51.285714285714285,51.285714285714285
AB de Villiers,"MA Chidambaram Stadium, Chepauk, Chennai",74.33333333333333,74.33333333333333
AB de Villiers,Maharashtra Cricket Association Stadium,65.25,65.25
AB de Villiers,"Narendra Modi Stadium, Ahmedabad",66.0,66.0
AB de Villiers,Nehru Stadium,96.0,96.0
AB de Villiers,New Wanderers Stadium,36.0,36.0
AB de Villiers,OUTsurance Oval,72.0,72.0
AB de Villiers,Punjab Cricket Association IS Bindra Stadium,99.0,99.0
AB de Villiers,"Punjab Cricket Association IS Bindra Stadium, Mohali",104.0,104.0
AB de Villiers,"Punjab Cricket Association Stadium, Mohali",43.75,43.75
AB de Villiers,Rajiv Gandhi International Stadium,3.0,3.0
AB de Villiers,"Rajiv Gandhi International Stadium, Uppal",25.2,25.2
AB de Villiers,"Sardar Patel Stadium, Motera",45.0,45.0
AB de Villiers,Saurashtra Cricket Association Stadium,28.0,28.0
AB de Villiers,Sawai Mansingh Stadium,54.4,54.4
AB de Villiers,Shaheed Veer Narayan Singh International Stadium,10.0,10.0
AB de Villiers,Sharjah Cricket Stadium,37.142857142857146,37.142857142857146
AB de Villiers,Sheikh Zayed Stadium,36.0,36.0
AB de Villiers,St George's Park,21.0,21.0
AB de Villiers,Subrata Roy Sahara Stadium,54.5,54.5
AB de Villiers,SuperSport Park,36.25,36.25
AB de Villiers,Wankhede Stadium,68.625,68.625
AB de Villiers,"Wankhede Stadium, Mumbai",4.0,4.0
AB de Villiers,"Zayed Cricket Stadium, Abu Dhabi",14.5,14.5
AC Blizzard,Dr DY Patil Sports Academy,10.0,10.0
AC Blizzard,Feroz Shah Kotla,0.0,0.0
AC Blizzard,"MA Chidambaram Stadium, Chepauk",18.0,18.0
AC Blizzard,"Punjab Cricket Association Stadium, Mohali",27.0,27.0
AC Blizzard,Wankhede Stadium,57.666666666666664,57.666666666666664
AC Gilchrist,Barabati Stadium,55.5,55.5
AC Gilchrist,Brabourne Stadium,29.0,29.0
AC Gilchrist,Buffalo Park,0.0,0.0
AC Gilchrist,De Beers Diamond Oval,27.0,27.0
AC Gilchrist,Dr DY Patil Sports Academy,57.833333333333336,57.833333333333336
AC Gilchrist,Eden Gardens,31.2,31.2
AC Gilchrist,Feroz Shah Kotla,34.5,34.5
AC Gilchrist,Himachal Pradesh Cricket Association Stadium,65.88888888888889,65.88888888888889
AC Gilchrist,Holkar Cricket Stadium,13.0,13.0
AC Gilchrist,Kingsmead,92.33333333333333,92.33333333333333
AC Gilchrist,M Chinnaswamy Stadium,58.25,58.25
AC Gilchrist,"MA Chidambaram Stadium, Chepauk",89.0,89.0
AC Gilchrist,New Wanderers Stadium,41.333333333333336,41.333333333333336
AC Gilchrist,Newlands,77.0,77.0
AC Gilchrist,"Punjab Cricket Association Stadium, Mohali",38.75,38.75
AC Gilchrist,"Rajiv Gandhi International Stadium, Uppal",38.44444444444444,38.44444444444444
AC Gilchrist,"Sardar Patel Stadium, Motera",1.0,1.0
AC Gilchrist,Sawai Mansingh Stadium,53.333333333333336,53.333333333333336
AC Gilchrist,St George's Park,75.0,75.0
AC Gilchrist,Subrata Roy Sahara Stadium,19.5,19.5
AC Gilchrist,SuperSport Park,62.25,62.25
AC Gilchrist,"Vidarbha Cricket Association Stadium, Jamtha",26.333333333333332,26.333333333333332
AC Gilchrist,Wankhede Stadium,0.0,0.0
AC Thomas,Dr DY Patil Sports Academy,27.333333333333332,27.333333333333332
AC Thomas,Feroz Shah Kotla,54.5,54.5
AC Thomas,M Chinnaswamy Stadium,65.0,65.0
AC Thomas,"MA Chidambaram Stadium, Chepauk",29.0,29.0
AC Thomas,Sawai Mansingh Stadium,35.0,35.0
AC Thomas,Subrata Roy Sahara Stadium,18.4,18.4
AC Thomas,Wankhede Stadium,22.5,22.5
AC Voges,Eden Gardens,3.5,3.5
AC Voges,Feroz Shah Kotla,11.5,11.5
AC Voges,"Punjab Cricket Association Stadium, Mohali",40.0,40.0
AC Voges,"Sardar Patel Stadium, Motera",25.2,25.2
AC Voges,Sawai Mansingh Stadium,26.333333333333332,26.333333333333332
AD Hales,Arun Jaitley Stadium,26.0,26.0
AD Hales,M.Chinnaswamy Stadium,67.0,67.0
AD Hales,Maharashtra Cricket Association Stadium,2.0,2.0
AD Hales,Rajiv Gandhi International Stadium,44.0,44.0
AD Hales,Sawai Mansingh Stadium,65.0,65.0
AD Mascarenhas,Brabourne Stadium,33.0,33.0
AD Mascarenhas,Eden Gardens,16.0,16.0
AD Mascarenhas,Newlands,32.0,32.0
AD Mascarenhas,"Punjab Cricket Association Stadium, Mohali",57.0,57.0
AD Mascarenhas,"Rajiv Gandhi International Stadium, Uppal",7.0,7.0
AD Mascarenhas,"Sardar Patel Stadium, Motera",31.0,31.0
AD Mascarenhas,Sawai Mansingh Stadium,36.5,36.5
AD Mascarenhas,Subrata Roy Sahara Stadium,21.5,21.5
AD Mascarenhas,SuperSport Park,27.666666666666668,27.666666666666668
AD Mathews,Brabourne Stadium,16.25,16.25
AD Mathews,Dr DY Patil Sports Academy,76.5,76.5
AD Mathews,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,27.5,27.5
AD Mathews,Eden Gardens,33.0,33.0
AD Mathews,Feroz Shah Kotla,18.733333333333334,18.733333333333334
AD Mathews,JSCA International Stadium Complex,29.0,29.0
AD Mathews,M Chinnaswamy Stadium,15.6,15.6
AD Mathews,"MA Chidambaram Stadium, Chepauk",25.75,25.75
AD Mathews,Maharashtra Cricket Association Stadium,17.75,17.75
AD Mathews,"Punjab Cricket Association Stadium, Mohali",28.75,28.75
AD Mathews,"Rajiv Gandhi International Stadium, Uppal",14.5,14.5
AD Mathews,"Sardar Patel Stadium, Motera",1.0,1.0
AD Mathews,Sawai Mansingh Stadium,27.5,27.5
AD Mathews,Subrata Roy Sahara Stadium,25.375,25.375
AD Mathews,SuperSport Park,10.0,10.0
AD Mathews,Wankhede Stadium,20.5,20.5
AD Nath,Eden Gardens,19.0,19.0
AD Nath,M Chinnaswamy Stadium,3.0,3.0
AD Nath,M.Chinnaswamy Stadium,24.0,24.0
AD Nath,Saurashtra Cricket Association Stadium,2.5,2.5
AD Nath,Sawai Mansingh Stadium,13.0,13.0
AD Nath,Wankhede Stadium,9.0,9.0
AF Milne,Dubai International Cricket Stadium,35.5,35.5
AF Milne,M Chinnaswamy Stadium,40.0,40.0
AF Milne,"MA Chidambaram Stadium, Chepauk, Chennai",-1.0,-1.0
AF Milne,Maharashtra Cricket Association Stadium,7.5,7.5
AF Milne,Saurashtra Cricket Association Stadium,26.0,26.0
AF Milne,Wankhede Stadium,-2.5,-2.5
AF Milne,"Wankhede Stadium, Mumbai",9.0,9.0
AF Milne,"Zayed Cricket Stadium, Abu Dhabi",3.5,3.5
AG Murtaza,Brabourne Stadium,58.0,58.0
AG Murtaza,Eden Gardens,13.0,13.0
AG Murtaza,Feroz Shah Kotla,96.0,96.0
AG Murtaza,JSCA International Stadium Complex,4.0,4.0
AG Murtaza,M Chinnaswamy Stadium,3.6666666666666665,3.6666666666666665
AG Murtaza,Sawai Mansingh Stadium,11.0,11.0
AG Murtaza,Subrata Roy Sahara Stadium,36.333333333333336,36.333333333333336
AG Murtaza,Wankhede Stadium,39.0,39.0
AG Paunikar,Eden Gardens,23.0,23.0
AG Paunikar,"Rajiv Gandhi International Stadium, Uppal",36.0,36.0
AG Paunikar,Sawai Mansingh Stadium,8.666666666666666,8.666666666666666
AJ Finch,Arun Jaitley Stadium,2.0,2.0
AJ Finch,"Brabourne Stadium, Mumbai",63.5,63.5
AJ Finch,Dr DY Patil Sports Academy,45.0,45.0
AJ Finch,Dubai International Cricket Stadium,47.888888888888886,47.888888888888886
AJ Finch,Eden Gardens,36.5,36.5
AJ Finch,Feroz Shah Kotla,24.428571428571427,24.428571428571427
AJ Finch,Green Park,43.25,43.25
AJ Finch,Holkar Cricket Stadium,51.0,51.0
AJ Finch,JSCA International Stadium Complex,45.5,45.5
AJ Finch,M Chinnaswamy Stadium,42.142857142857146,42.142857142857146
AJ Finch,M.Chinnaswamy Stadium,0.0,0.0
AJ Finch,"MA Chidambaram Stadium, Chepauk",63.5,63.5
AJ Finch,Maharashtra Cricket Association Stadium,19.666666666666668,19.666666666666668
AJ Finch,"Maharashtra Cricket Association Stadium, Pune",18.0,18.0
AJ Finch,Punjab Cricket Association IS Bindra Stadium,12.0,12.0
AJ Finch,"Punjab Cricket Association IS Bindra Stadium, Mohali",66.0,66.0
AJ Finch,"Punjab Cricket Association Stadium, Mohali",116.0,116.0
AJ Finch,Rajiv Gandhi International Stadium,14.0,14.0
AJ Finch,"Rajiv Gandhi International Stadium, Uppal",35.857142857142854,35.857142857142854
AJ Finch,"Sardar Patel Stadium, Motera",15.5,15.5
AJ Finch,Saurashtra Cricket Association Stadium,31.0,31.0
AJ Finch,Sawai Mansingh Stadium,49.0,49.0
AJ Finch,Shaheed Veer Narayan Singh International Stadium,61.0,61.0
AJ Finch,Sharjah Cricket Stadium,52.0,52.0
AJ Finch,Sheikh Zayed Stadium,24.0,24.0
AJ Finch,Subrata Roy Sahara Stadium,48.5,48.5
AJ Finch,Wankhede Stadium,44.6,44.6
AJ Finch,"Wankhede Stadium, Mumbai",3.5,3.5
AJ Hosein,"Arun Jaitley Stadium, Delhi",27.0,27.0
AJ Turner,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",16.5,16.5
AJ Turner,Punjab Cricket Association IS Bindra Stadium,0.0,0.0
AJ Turner,Sawai Mansingh Stadium,1.0,1.0
AJ Tye,Arun Jaitley Stadium,32.0,32.0
AJ Tye,"Brabourne Stadium, Mumbai",85.0,85.0
AJ Tye,"Dr DY Patil Sports Academy, Mumbai",5.5,5.5
AJ Tye,Eden Gardens,45.5,45.5
AJ Tye,Holkar Cricket Stadium,44.0,44.0
AJ Tye,M Chinnaswamy Stadium,97.0,97.0
AJ Tye,M.Chinnaswamy Stadium,31.5,31.5
AJ Tye,MA Chidambaram Stadium,7.0,7.0
AJ Tye,Maharashtra Cricket Association Stadium,1.0,1.0
AJ Tye,Punjab Cricket Association IS Bindra Stadium,22.22222222222222,22.22222222222222
AJ Tye,Rajiv Gandhi International Stadium,8.0,8.0
AJ Tye,Saurashtra Cricket Association Stadium,44.285714285714285,44.285714285714285
AJ Tye,Sawai Mansingh Stadium,72.5,72.5
AJ Tye,Sharjah Cricket Stadium,30.5,30.5
AJ Tye,Wankhede Stadium,92.5,92.5
AL Menaria,Eden Gardens,22.0,22.0
AL Menaria,Feroz Shah Kotla,1.0,1.0
AL Menaria,Holkar Cricket Stadium,53.0,53.0
AL Menaria,"MA Chidambaram Stadium, Chepauk",15.5,15.5
AL Menaria,"Punjab Cricket Association Stadium, Mohali",36.0,36.0
AL Menaria,"Rajiv Gandhi International Stadium, Uppal",15.5,15.5
AL Menaria,Sawai Mansingh Stadium,20.666666666666668,20.666666666666668
AL Menaria,Subrata Roy Sahara Stadium,22.0,22.0
AL Menaria,Wankhede Stadium,15.5,15.5
AM Nayar,Buffalo Park,22.666666666666668,22.666666666666668
AM Nayar,Dr DY Patil Sports Academy,25.25,25.25
AM Nayar,Dubai International Cricket Stadium,9.0,9.0
AM Nayar,Eden Gardens,0.0,0.0
AM Nayar,Feroz Shah Kotla,18.0,18.0
AM Nayar,Himachal Pradesh Cricket Association Stadium,3.0,3.0
AM Nayar,Kingsmead,32.0,32.0
AM Nayar,M Chinnaswamy Stadium,2.4,2.4
AM Nayar,"MA Chidambaram Stadium, Chepauk",26.5,26.5
AM Nayar,Maharashtra Cricket Association Stadium,0.0,0.0
AM Nayar,New Wanderers Stadium,31.0,31.0
AM Nayar,Newlands,65.0,65.0
AM Nayar,"Punjab Cricket Association Stadium, Mohali",2.857142857142857,2.857142857142857
AM Nayar,"Rajiv Gandhi International Stadium, Uppal",29.8,29.8
AM Nayar,Sawai Mansingh Stadium,21.666666666666668,21.666666666666668
AM Nayar,Shaheed Veer Narayan Singh International Stadium,29.0,29.0
AM Nayar,Sharjah Cricket Stadium,37.0,37.0
AM Nayar,Sheikh Zayed Stadium,11.5,11.5
AM Nayar,St George's Park,49.666666666666664,49.666666666666664
AM Nayar,Subrata Roy Sahara Stadium,15.0,15.0
AM Nayar,SuperSport Park,0.6666666666666666,0.6666666666666666
AM Nayar,Wankhede Stadium,21.4,21.4
AM Salvi,Himachal Pradesh Cricket Association Stadium,55.0,55.0
AM Salvi,Kingsmead,-5.0,-5.0
AM Salvi,New Wanderers Stadium,13.0,13.0
AM Salvi,Newlands,29.0,29.0
AM Salvi,OUTsurance Oval,66.0,66.0
