Player Name1,recent_avg_batting,recent_avg_bowling
S Sandeep Warrier,33.8,33.8
SB Dubey,20.333333333333332,20.333333333333332
SD Hope,35.44444444444444,35.44444444444444
SN Thakur,15.916666666666666,15.916666666666666
SS Prabhudessai,36.0,36.0
SZ Mulani,0.6666666666666666,0.6666666666666666
Sai Kishore,39.0,39.0
Sai Sudharsan,73.75,73.75
Sam Curran,35.64,35.64
Sameer Rizvi,15.4,15.4
Sandeep Sharma,46.3,46.3
Sanju Samson,61.266666666666666,61.266666666666666
Sanvir Singh,6.0,6.0
Saurav Chauhan,9.333333333333334,9.333333333333334
Shahbaz Ahmed,19.77777777777778,19.77777777777778
Shashank Singh,43.86666666666667,43.86666666666667
Shimron Hetmyer,22.11111111111111,22.11111111111111
Shivam Dube,49.06666666666667,49.06666666666667
Shivam Singh,2.0,2.0
Shreyas Gopal,26.333333333333332,26.333333333333332
Shreyas Iyer,43.357142857142854,43.357142857142854
Shubman Gill,59.333333333333336,59.333333333333336
Sikandar Raza,22.333333333333332,22.333333333333332
Simarjeet Singh,43.75,43.75
Spencer Johnson,17.0,17.0
Sumit Kumar,6.0,6.0
Sunil Narine,55.07142857142857,55.07142857142857
Suryakumar Yadav,58.09090909090909,58.09090909090909
Suyash Sharma,-0.5,-0.5
Swapnil Singh,20.5,20.5
T Kohler-Cadmore,27.333333333333332,27.333333333333332
T Natarajan,43.857142857142854,43.857142857142854
Tanush Kotian,36.0,36.0
Tilak Varma,51.0,51.0
Tim David,36.63636363636363,36.63636363636363
Travis Head,67.4375,67.4375
Trent Boult,29.894736842105264,29.894736842105264
Tristan Stubbs,50.2,50.2
Tushar Deshpande,39.92857142857143,39.92857142857143
UT Yadav,31.555555555555557,31.555555555555557
Umran Malik,-4.0,-4.0
V Kaverappa,61.0,61.0
V Viyaskanth,11.5,11.5
Vaibhav Arora,31.09090909090909,31.09090909090909
Varun Chakravarthy,47.714285714285715,47.714285714285715
Venkatesh Iyer,47.285714285714285,47.285714285714285
Vijay Shankar,17.571428571428573,17.571428571428573
Vijaykumar Vyshak,30.0,30.0
Virat Kohli,87.0,87.0
WP Saha,26.0,26.0
Washington Sundar,7.333333333333333,7.333333333333333
Will Jacks,36.84615384615385,36.84615384615385
Yash Dayal,36.285714285714285,36.285714285714285
Yash Thakur,34.1,34.1
Yashasvi Jaiswal,52.2,52.2
Yudhvir Singh,14.25,14.25
Yuzvendra Chahal,37.53333333333333,37.53333333333333
